"postcode","buurt_naam","buurt_vollcode"
"",Kortvoort,T94d
"1011AB",Oosterdokseiland,A04a
"1011AC",Oosterdokseiland,A04a
"1011AD",Oosterdokseiland,A04a
"1011AE",Oosterdokseiland,A04a
"1011AG",Lastage,A04d
"1011AH",Lastage,A04d
"1011AJ",Lastage,A04d
"1011AK",Scheepvaarthuisbuurt,A04b
"1011AL",Waterloopleinbuurt,A04i
"1011AM",Scheepvaarthuisbuurt,A04b
"1011AN",Scheepvaarthuisbuurt,A04b
"1011AP",Scheepvaarthuisbuurt,A04b
"1011AR",Scheepvaarthuisbuurt,A04b
"1011AS",Scheepvaarthuisbuurt,A04b
"1011AT",Scheepvaarthuisbuurt,A04b
"1011AV",Scheepvaarthuisbuurt,A04b
"1011AW",Scheepvaarthuisbuurt,A04b
"1011AX",Scheepvaarthuisbuurt,A04b
"1011AZ",Scheepvaarthuisbuurt,A04b
"1011BA",Scheepvaarthuisbuurt,A04b
"1011BB",Scheepvaarthuisbuurt,A04b
"1011BC",Scheepvaarthuisbuurt,A04b
"1011BD",Scheepvaarthuisbuurt,A04b
"1011BG",Scheepvaarthuisbuurt,A04b
"1011BH",Scheepvaarthuisbuurt,A04b
"1011BJ",Scheepvaarthuisbuurt,A04b
"1011BK",Scheepvaarthuisbuurt,A04b
"1011BL",Scheepvaarthuisbuurt,A04b
"1011BM",Scheepvaarthuisbuurt,A04b
"1011BN",Scheepvaarthuisbuurt,A04b
"1011BP",Scheepvaarthuisbuurt,A04b
"1011BR",Scheepvaarthuisbuurt,A04b
"1011BS",Lastage,A04d
"1011BT",Lastage,A04d
"1011BV",Lastage,A04d
"1011BW",Lastage,A04d
"1011BX",Lastage,A04d
"1011BZ",Lastage,A04d
"1011CA",Lastage,A04d
"1011CB",Lastage,A04d
"1011CC",Lastage,A04d
"1011CD",Lastage,A04d
"1011CE",Lastage,A04d
"1011CH",Lastage,A04d
"1011CJ",Lastage,A04d
"1011CK",Lastage,A04d
"1011CL",Lastage,A04d
"1011CM",Lastage,A04d
"1011CN",Lastage,A04d
"1011CP",Lastage,A04d
"1011CR",Lastage,A04d
"1011CS",Lastage,A04d
"1011CT",Lastage,A04d
"1011CV",Lastage,A04d
"1011CW",Lastage,A04d
"1011CX",Lastage,A04d
"1011CZ",Lastage,A04d
"1011DB",Lastage,A04d
"1011DC",Nieuwmarkt,A04e
"1011DD",Oosterdokseiland,A04a
"1011DG",Oosterdokseiland,A04a
"1011DH",Oosterdokseiland,A04a
"1011DJ",Oosterdokseiland,A04a
"1011DK",Oosterdokseiland,A04a
"1011DL",Oosterdokseiland,A04a
"1011DZ",Nieuwmarkt,A04e
"1011EA",Nieuwmarkt,A04e
"1011EB",Nieuwmarkt,A04e
"1011EC",Nieuwmarkt,A04e
"1011ED",Nieuwmarkt,A04e
"1011EE",Lastage,A04d
"1011EG",Lastage,A04d
"1011EH",Lastage,A04d
"1011EJ",Lastage,A04d
"1011EK",Lastage,A04d
"1011EL",Lastage,A04d
"1011EM",Lastage,A04d
"1011EN",Nieuwmarkt,A04e
"1011ER",Lastage,A04d
"1011ES",Nieuwmarkt,A04e
"1011ET",Nieuwmarkt,A04e
"1011EV",Nieuwmarkt,A04e
"1011EW",Nieuwmarkt,A04e
"1011EX",Nieuwmarkt,A04e
"1011EZ",Nieuwmarkt,A04e
"1011GA",Nieuwmarkt,A04e
"1011GB",Nieuwmarkt,A04e
"1011GC",Nieuwmarkt,A04e
