bc_code,bc_name,year,population,imm_Sur,imm_Ant,imm_Tur,imm_Mar,imm_otherNW,imm_W,imm_autoch,age_0t18,age_18t26,age_27t65,age_66plus,edu_low,edu_mid,edu_high,unempl,stichting_count,vereniging_count,leisure_count,stichting_density,vereniging_density,leisure_density
A00,Burgwallen-Oude Zijde,2016,4290,1.9,0.9,0.8,0.6,10.8,29.6,55.3,6.9,23.1,62.7,7.5,10,34,56,5.9,377,121,443,87.87878788,28.20512821,103.2634033
A01,Burgwallen-Nieuwe Zijde,2016,3981,1.6,0.8,0.9,0.8,12.1,31.5,52.3,6.5,22.6,65,6.4,7,32,61,5.5,265,97,317,66.5661894,24.36573725,79.62823411
A02,Grachtengordel-West,2016,6483,1.1,0.6,0.7,0.2,7.1,31.4,59,11.5,16.2,58.6,14.4,8,27,66,3.7,776,113,967,119.6976708,17.43020207,149.1593398
A03,Grachtengordel-Zuid,2016,5455,1.3,0.6,1.2,0.3,8.1,28.4,60,11.9,16.5,58.8,13.2,9,29,62,4.2,757,65,643,138.771769,11.91567369,117.8735105
A04,Nieuwmarkt/Lastage,2016,9618,2.8,0.8,0.8,0.9,8.3,25.8,60.8,10.7,15.3,61.2,13.5,12,30,59,8.5,552,131,696,57.39238927,13.62029528,72.36431691
A05,Haarlemmerbuurt,2016,9314,3.9,0.8,0.8,2.1,8.5,23,60.9,13.9,10.9,62.6,13.2,14,28,58,10,1114,97,533,119.6048959,10.41442989,57.22568177
A06,Jordaan,2016,19408,2.2,0.9,0.9,1.5,7,24.1,63.5,11.3,13,62.7,13.5,12,29,58,9.9,568,106,1419,29.26628195,5.461665293,73.11417972
A07,De Weteringschans,2016,7352,1.6,0.8,1.1,0.6,7.4,26.7,61.9,12,17.5,60.1,10.8,9,28,64,5.3,542,96,763,73.72143634,13.05767138,103.781284
A08,Weesperbuurt/Plantage,2016,7943,3.6,0.8,0.7,1.7,9.2,23.9,60,11.2,18.9,57.7,12.8,14,27,59,10.4,413,123,646,51.99546771,15.485333,81.32947249
A09,Oostelijke Eilanden/Kadijken,2016,12655,6.5,0.9,1.7,4.9,10.1,18.3,57.6,14.5,14.1,60.9,11.2,17,30,53,12.4,354,80,890,27.97313315,6.321612011,70.32793362
B10,Westelijk Havengebied,2016,200,2.5,0,0.5,0,10,28.5,58.5,10,9.5,75.5,5.5,23,52,24,NA,593,27,85,2965,135,425
E12,Houthavens,2016,1044,2.6,0.6,1.1,1.3,6.2,27.4,60.8,11.6,17.7,62.1,9.1,8,26,66,6,47,10,220,45.01915709,9.578544061,210.7279693
E13,Spaarndammer- en Zeeheldenbuurt,2016,10888,8.2,1.4,2.4,8,11.1,17.3,51.6,16.1,11.3,63.2,10.1,24,29,47,16.2,200,45,210,18.36884644,4.132990448,19.28728876
E14,Staatsliedenbuurt,2016,13187,4.5,1,2,6.9,10.2,20.1,55.4,15.1,10.6,67.3,7.6,18,27,56,11.9,296,64,568,22.44634868,4.853264579,43.07272314
E15,Centrale Markt,2016,2501,4.7,0.9,2.3,9.2,9.5,18,55.4,20.1,11.4,61.3,8.9,22,29,49,10.9,92,28,65,36.78528589,11.19552179,25.98960416
E16,Frederik Hendrikbuurt,2016,8496,3.2,1,1.7,6,9.3,20.7,58.1,12.9,12.1,66,9.5,15,27,58,11.3,132,23,356,15.53672316,2.707156309,41.90207156
E17,Da Costabuurt,2016,4688,2.8,1.3,1.1,2.8,7,23.2,61.9,12.2,14.6,63.5,10.3,10,26,64,8.4,110,33,246,23.46416382,7.039249147,52.47440273
E18,Kinkerbuurt,2016,6358,4.5,1.3,3,6.4,8.5,18.9,57.4,11.8,16,65.9,6.6,19,28,53,15.8,107,26,262,16.82919157,4.089336269,41.20792702
E19,Van Lennepbuurt,2016,7078,5.9,0.9,3.5,8.8,10.3,19.1,51.5,12.3,13.9,63.4,11.2,20,29,50,13.7,91,16,199,12.85673919,2.260525572,28.1152868
E20,Helmersbuurt,2016,7506,2.6,1,0.9,1.5,6.8,23.3,63.9,15.5,13.9,62.4,8.8,11,25,65,7.7,260,63,864,34.6389555,8.393285372,115.1079137
E21,Overtoomse Sluis,2016,7788,2.1,0.8,1.1,1.7,6.6,24.1,63.5,13.7,13.3,66.2,7.2,9,23,68,7.7,152,30,479,19.51720596,3.852080123,61.5048793
E22,Vondelbuurt,2016,1868,2.6,0.7,0.6,2.3,8.4,26.4,58.9,17.8,10.1,55.9,16.5,15,27,58,6,125,25,202,66.91648822,13.38329764,108.137045
E36,Sloterdijk,2016,515,4.5,0,0.4,2.3,8,22.7,62.1,7.8,13.6,75.3,3.9,13,22,66,NA,86,15,191,166.9902913,29.12621359,370.8737864
E37,Landlust,2016,19082,4.9,1,10.1,18.1,9.9,14.7,41.4,18.2,17.3,58.3,7,27,30,43,13.4,203,46,357,10.63829787,2.410648779,18.70873074
E38,Erasmuspark,2016,5891,2.6,0.9,8.6,10.1,7.9,17.3,52.6,15.9,15.7,62.3,6.7,17,26,57,8.8,65,18,176,11.03378034,3.055508403,29.87608216
E39,De Kolenkit,2016,9577,5.9,1.2,17.3,28.3,9.5,10.1,27.6,23.3,21.8,48.9,7.4,33,33,34,14.4,76,27,83,7.935679231,2.819254464,8.666597055
E40,Geuzenbuurt,2016,6840,3,0.7,3.4,5,7.5,19.7,60.7,14.4,16.2,61.9,7.8,13,25,62,8.3,89,23,274,13.01169591,3.362573099,40.05847953
E41,Van Galenbuurt,2016,6992,9.8,1.9,8.2,14.4,12.1,14,39.5,14.1,15,64.8,6.5,33,29,38,27.2,52,17,156,7.437070938,2.431350114,22.31121281
E42,Hoofdweg e.o.,2016,10481,5.5,1.2,8.2,12.1,10.4,15.8,46.8,16.8,13.8,61.7,8.3,23,27,49,13.6,139,38,302,13.26209331,3.625608243,28.81404446
E43,Westindische Buurt,2016,6938,3.2,0.9,3.3,3.9,7.6,20.5,60.6,14.2,16.5,62,7.6,12,27,61,7.8,89,27,234,12.8279043,3.891611415,33.72729893
E75,Chassébuurt,2016,6246,4.5,1.2,7.7,13.2,9,16.1,48.4,20,15.4,58.5,7,23,26,51,12.4,92,19,155,14.72942683,3.041946846,24.81588216
F11,Bedrijventerrein Sloterdijk,2016,106,1.9,0,2.8,0,14.2,48.1,33,5.7,15.1,69.8,10.4,59,NA,NA,NA,326,40,585,3075.471698,377.3584906,5518.867925
F76,Slotermeer-Noordoost,2016,9474,5.9,1,18.2,26.6,12.3,11.7,24.3,25,13.2,54,8.9,44,35,21,17.1,66,26,58,6.966434452,2.744352966,6.122018155
F77,Slotermeer-Zuidwest,2016,17290,5.7,1,16.3,28.1,10.6,10.5,27.9,23.3,15.7,51.4,10.8,42,36,22,16.5,133,56,119,7.692307692,3.238866397,6.882591093
F78,Geuzenveld,2016,15478,5.5,1,23.3,25.8,9.3,11,24.2,26.8,14.6,50.1,9.7,42,39,19,13.7,107,23,90,6.91303786,1.485980101,5.814704742
F79,Eendracht,2016,2392,7.7,1,13.1,11,8.2,14.4,44.6,19.7,13.8,54.3,13.3,32,44,24,9.2,22,18,35,9.197324415,7.525083612,14.63210702
F80,Lutkemeer/Ookmeer,2016,850,2.8,0.2,2.7,3.2,2.7,12.5,75.9,20.1,11.2,55.6,13.8,40,34,26,11.1,36,29,51,42.35294118,34.11764706,60
F81,Osdorp-Oost,2016,15930,6.7,1,9.9,20,10,13.8,38.6,19.2,13.3,49,19.5,37,39,24,13.8,159,62,157,9.981167608,3.892027621,9.85561833
F82,Osdorp-Midden,2016,15883,7.9,1.3,16.1,28.3,10.5,11.7,24.3,26.3,14.1,50.5,10.3,38,40,23,13.7,108,22,78,6.799722974,1.385128754,4.910911037
F83,De Punt,2016,5897,8.1,1.3,13.2,17.8,12.5,12.9,34.3,22.7,16,49.5,12.8,37,43,20,12.8,69,15,92,11.70086485,2.543666271,15.60115313
F84,Middelveldsche Akerpolder,2016,14488,9.8,0.8,9.3,12.4,8.8,12,46.9,24.6,12.7,54.3,10,31,40,30,7.8,116,45,113,8.006626173,3.106018774,7.799558255
F85,Slotervaart Noord,2016,7990,6.1,0.7,11.5,17.6,9.1,15.2,39.9,23.6,12.8,50.3,14.7,33,36,31,12.7,82,21,72,10.26282854,2.628285357,9.01126408
F86,Overtoomse Veld,2016,12139,4.3,0.6,11.8,28.8,11.7,15.3,27.5,22.3,23.8,48,8,32,35,33,12,193,46,117,15.89916797,3.789438998,9.638355713
F87,Westlandgracht,2016,7837,4.7,1.2,6.6,12.9,12.8,20.8,40.9,18.1,14.7,59.4,8.3,20,31,49,10.4,216,47,164,27.56156693,5.997192803,20.92637489
F88,Sloter/Riekerpolder,2016,13977,6.9,0.8,4.8,6,8.1,16,57.5,19.8,12.6,56.4,12.7,25,39,36,7.1,245,100,493,17.52879731,7.154611147,35.27223295
F89,Slotervaart Zuid,2016,9666,6.8,0.9,9.2,24.3,10.6,13.3,34.9,22.1,17.3,47.2,14.5,30,40,30,13.3,110,42,103,11.38009518,4.34512725,10.6559073
K23,Zuidas,2016,2256,3.2,1.6,1.8,0.9,30.4,25.5,36.6,9.9,39.1,49.9,2.1,5,45,50,NA,1254,150,359,555.8510638,66.4893617,159.1312057
K24,Oude Pijp,2016,14871,3.2,0.9,1.5,2.7,9.1,23.1,59.5,10.9,20.2,62.3,7.1,12,30,58,8.6,322,89,886,21.65288145,5.984802636,59.57904647
K25,Nieuwe Pijp,2016,12406,4.6,0.9,2.1,4.6,8.5,20.5,58.8,11.5,15.8,63.1,10,13,28,59,10.1,225,48,554,18.13638562,3.869095599,44.6558117
K26,Zuid Pijp,2016,8276,7,1.1,3.9,10.2,11.1,17.3,49.4,15.2,14.1,59.1,12.4,25,30,44,16.3,129,28,154,15.58724021,3.383276945,18.6080232
K44,Hoofddorppleinbuurt,2016,11767,2.6,1,1,1.9,6.7,20.4,66.5,14.3,14.9,62.9,8.5,11,26,63,7.1,206,42,644,17.50658622,3.569303986,54.72932778
K45,Schinkelbuurt,2016,3844,4.7,0.7,1.6,2.7,7,21.1,62.1,12,14.4,66,8.1,15,27,58,10.9,74,24,243,19.25078044,6.243496358,63.21540062
K46,Willemspark,2016,5647,1.6,0.4,0.9,0.9,6.6,29.8,59.7,24.3,9.3,56.6,10.6,12,22,66,4.7,485,78,1442,85.88631132,13.81264388,255.3568266
K47,Museumkwartier,2016,12866,1.4,0.7,0.5,0.2,6,28.4,62.7,19.5,9.5,55,16.8,10,25,65,4.3,864,160,1378,67.15373854,12.43587751,107.103995
K48,Stadionbuurt,2016,11646,4.8,1.2,2.1,4.9,8.7,19.1,59.2,15.7,12.4,59.2,13.4,17,28,54,10.9,204,61,252,17.51674395,5.237849906,21.63833076
K49,Apollobuurt,2016,8764,1,0.7,0.6,0.2,6.6,29.5,61.5,24.3,10.3,49.9,16.5,10,25,65,2.9,489,85,577,55.79643998,9.698767686,65.83751712
K52,Scheldebuurt,2016,14752,2.2,0.7,0.7,1.6,5.5,19.8,69.6,16.6,15.2,55.5,13.2,9,24,66,6.4,271,84,475,18.37039046,5.694143167,32.19902386
K53,IJselbuurt,2016,5360,4.4,1.2,2.4,5.2,6.5,19.7,60.5,13.8,17.5,58.4,11,15,30,55,11.8,63,27,481,11.75373134,5.037313433,89.73880597
K54,Rijnbuurt,2016,9128,4.1,1.1,1.3,4.1,7.9,17.5,64,13,16.3,58.9,12.5,15,30,55,11.7,137,41,257,15.00876424,4.49167397,28.15512708
K59,Prinses Irenebuurt e.o.,2016,1318,1.2,0.3,0.2,0.5,8.2,30,59.5,22.5,7,48.1,23.3,11,22,67,NA,58,10,39,44.0060698,7.587253414,29.59028832
K90,Buitenveldert-West,2016,12697,3.5,1,1.3,1.8,12.9,25.2,54.2,14.7,11.6,49.8,24.5,17,32,51,7.5,545,97,804,42.92352524,7.639599905,63.32204458
K91,Buitenveldert-Oost,2016,7660,3.3,0.9,2,2,13.7,25.5,52.6,12.4,12.2,47.5,28.6,17,32,51,8.3,189,46,145,24.67362924,6.005221932,18.92950392
M27,Weesperzijde,2016,5225,3.5,1,1.2,4,8.7,21.1,60.3,15.2,17.5,61.1,7.4,11,25,64,7.4,170,50,342,32.53588517,9.56937799,65.45454545
M28,Oosterparkbuurt,2016,10957,8,1,4.9,10,10.6,16.4,49.1,14.8,15.8,61.4,8.8,21,28,51,12.7,261,85,390,23.82038879,7.757597883,35.5936844
M29,Dapperbuurt,2016,9255,8.7,1.3,7,12.2,10.2,14.7,45.9,15.7,14.8,59.6,11,25,27,48,14.6,189,64,237,20.42139384,6.915180983,25.60777958
M30,Transvaalbuurt,2016,9426,8.6,1.1,7.1,17,10.4,14.1,41.8,17.7,18.8,56.3,8.1,26,31,43,14.3,95,23,189,10.07850626,2.44005941,20.05092298
M31,Indische Buurt West,2016,12590,7.8,1.1,7.9,18.3,11.7,15.4,37.8,17,16.1,60.5,7.2,26,28,46,13.1,187,50,332,14.85305798,3.971405878,26.37013503
M32,Indische Buurt Oost,2016,10379,9.3,1.3,10.8,20.5,11.4,11.7,34.9,19.4,13.5,57.8,10.2,33,30,37,17.8,101,40,135,9.731187976,3.853935832,13.00703343
M33,Oostelijk Havengebied,2016,18495,5.6,0.9,2.3,4.3,8.1,18.1,60.9,22.1,8.2,64,6.7,16,26,58,8.3,534,143,1000,28.87266829,7.731819411,54.06866721
M34,Zeeburgereiland/Nieuwe diep,2016,1204,4.5,2.9,0.4,1.4,11.5,22.9,56.3,11.3,55.2,32.9,2.6,6,54,40,NA,18,15,31,14.95016611,12.45847176,25.74750831
M35,IJburg West,2016,14431,10,1.5,3,9.1,10.8,14.2,51.4,35,7.6,54.6,3.7,22,27,50,8.2,202,50,209,13.99764396,3.464763357,14.48271083
M51,IJburg Zuid,2016,7009,9.1,1.2,4.7,11.4,12.8,14.3,46.5,35.4,7.7,54.5,3.2,23,28,50,10,124,30,90,17.69153945,4.280211157,12.84063347
M55,Frankendael,2016,11004,5.6,1.3,2,6.8,8.9,16.3,59.1,14.9,19.8,52.6,13.4,19,31,50,10.9,851,64,275,77.33551436,5.816066885,24.9909124
M56,Middenmeer,2016,15308,2.6,0.8,1,2.1,6.7,19.8,67,21.7,19.9,50.2,9.7,11,31,58,4.7,319,114,670,20.83877711,7.447086491,43.76796446
M57,Betondorp,2016,3215,6.4,0.9,1.6,6,9.4,12.3,63.3,15,7.2,55.5,23,32,33,35,18.3,27,22,41,8.398133748,6.842923795,12.75272162
M58,Omval/Overamstel,2016,3923,4.4,3.5,1.5,1.5,8.7,17.3,63.2,7.3,54.7,36.1,3.8,7,46,47,3.1,193,45,352,49.19704308,11.47081315,89.72724955
N60,Volewijck,2016,9655,7.8,1.4,5,11.6,13.8,11.4,49.1,20.7,12.9,56.3,11,37,35,28,19.2,145,36,120,15.01812532,3.728638011,12.42879337
N61,IJplein/Vogelbuurt,2016,8246,8.8,1.8,4.6,14.9,15.5,13,41.3,20,12.5,58.7,9.9,34,35,31,17.7,126,35,108,15.28013582,4.244482173,13.09725928
N62,Tuindorp Nieuwendam,2016,3520,3.5,0.5,0.9,2.3,5.4,11.2,76.3,18,7.5,52.4,23,32,36,31,13.7,29,12,31,8.238636364,3.409090909,8.806818182
N63,Tuindorp Buiksloot,2016,1866,5.1,0.7,1.7,3.5,6.8,9.6,72.6,18.5,9.7,56.2,16.7,42,38,20,16.4,8,2,5,4.287245445,1.071811361,2.679528403
N64,Nieuwendammerdijk/Buiksloterdijk,2016,1690,0.4,0.8,0.2,0.5,2.2,15.9,80,28.8,6.4,52.7,13,12,24,64,4.6,59,16,53,34.9112426,9.467455621,31.36094675
N65,Tuindorp Oostzaan,2016,11168,6.2,1,3.3,6.8,8.4,9.9,64.3,21.4,9.2,54.3,16.2,36,38,26,13.7,91,48,99,8.148280802,4.297994269,8.864613181
N66,Oostzanerwerf,2016,8764,7.3,1,5.5,6.3,9.1,10.6,60.1,22.5,11.9,53.7,13.2,33,43,23,11.3,52,29,73,5.933363761,3.308991328,8.329529895
N67,Kadoelen,2016,3036,4.3,0.7,1.8,3.3,6.1,11.1,72.6,22.4,9.2,53.9,15.7,25,40,35,8.1,32,14,31,10.54018445,4.611330698,10.21080369
N68,Waterlandpleinbuurt,2016,13311,10.3,1.6,12.6,17.1,17,10.5,30.9,27.7,11.8,50,11.6,42,38,20,15.2,96,33,95,7.212080234,2.479152581,7.136954399
N69,Buikslotermeer,2016,10956,8.7,1.7,7.1,9,18.1,12.5,42.9,20,14.3,45.8,21.2,35,42,23,16,107,41,95,9.76633808,3.742241694,8.671047828
N70,Banne Buiksloot,2016,14186,9.1,1.4,11,13.6,15.2,10.1,39.6,25.2,11.3,49.5,15,41,37,21,15.9,123,42,114,8.670520231,2.960665445,8.036091922
N71,Noordelijke IJ-oevers West,2016,1692,4.7,1.2,1.5,1.4,8.5,15.8,67,13.5,25.7,53.7,7.6,8,41,51,6.9,233,46,172,137.7068558,27.18676123,101.6548463
N72,Noordelijke IJ-oevers Oost,2016,164,3,0.6,0.6,1.2,9.1,29.3,56.1,7.3,32.9,49.4,10.4,19,39,43,NA,86,16,45,524.3902439,97.56097561,274.3902439
N73,Waterland,2016,2211,1.2,0.5,0.5,0.1,2.2,9.4,86.2,22.4,8.5,52.5,18.3,20,31,49,4.7,69,27,69,31.20759837,12.21166893,31.20759837
